iter	Logloss
0	0.651564275
1	0.6177269648
2	0.5886934268
3	0.5665547154
4	0.5488302515
5	0.5351972935
6	0.5236365759
7	0.5112979466
8	0.502416754
9	0.488451492
10	0.4769853747
11	0.468181443
12	0.4626600369
13	0.4559511957
14	0.4512312615
15	0.4471094645
16	0.4430099533
17	0.439851911
18	0.4375309205
19	0.4354248396
20	0.4337452995
21	0.4322871646
22	0.4306784473
23	0.4290224546
24	0.4276007346
25	0.4261637144
26	0.4251405277
27	0.424189351
28	0.4233264795
29	0.4217963651
30	0.421090606
31	0.4204566247
32	0.4197408758
33	0.4192767807
34	0.4184539618
35	0.4180188925
36	0.4175560426
37	0.4167916274
38	0.4157675397
39	0.4153997597
40	0.4150059391
41	0.414637618
42	0.4141099786
43	0.4137449915
44	0.4134356981
45	0.4132609712
46	0.4128865028
47	0.4127034097
48	0.4125749664
49	0.4123315913
50	0.4119738484
51	0.4117204285
52	0.411551947
53	0.4112265411
54	0.4108332289
55	0.4106732345
56	0.4105599779
57	0.4104532386
58	0.4101650705
59	0.4101650246
60	0.4099585731
61	0.4098339292
62	0.4094916243
63	0.4092092679
64	0.4087909476
65	0.4086739727
66	0.4084616241
67	0.4083463825
68	0.407995938
69	0.4078249921
70	0.407600592
71	0.4075044294
72	0.4075042285
73	0.4074431526
74	0.4072576204
75	0.4072006764
76	0.4070162183
77	0.4068961743
78	0.4067529369
79	0.4065343604
80	0.4065037141
81	0.4063304575
82	0.406311958
83	0.4061714364
84	0.4061584892
85	0.4060633065
86	0.4059551034
87	0.4059289764
88	0.4059167751
89	0.4057219497
90	0.4056700984
91	0.4056520565
92	0.4055822191
93	0.4055317738
94	0.405521177
95	0.40546465
96	0.4054553009
97	0.405393473
98	0.4053261808
99	0.4053060157
