iter	Passed	Remaining
0	7	730
1	14	717
2	24	778
3	36	873
4	45	873
5	54	857
6	63	838
7	71	819
8	78	790
9	86	774
10	94	762
11	102	748
12	109	734
13	117	722
14	124	707
15	132	697
16	141	688
17	150	683
18	158	673
19	165	663
20	173	654
21	182	647
22	190	637
23	197	625
24	204	613
25	213	607
26	221	599
27	229	590
28	238	584
29	248	579
30	257	572
31	265	564
32	274	556
33	282	547
34	289	537
35	296	527
36	304	517
37	311	508
38	319	499
39	326	489
40	332	478
41	339	468
42	347	460
43	354	451
44	361	442
45	369	433
46	376	424
47	384	416
48	391	407
49	399	399
50	407	391
51	416	384
52	424	376
53	433	369
54	441	361
55	449	353
56	457	345
57	466	338
58	476	331
59	486	324
60	495	316
61	504	309
62	512	301
63	520	293
64	529	285
65	536	276
66	544	268
67	552	259
68	559	251
69	566	242
70	574	234
71	582	226
72	589	218
73	596	209
74	603	201
75	611	193
76	619	184
77	626	176
78	634	168
79	643	160
80	652	152
81	659	144
82	667	136
83	676	128
84	685	120
85	693	112
86	701	104
87	709	96
88	718	88
89	725	80
90	733	72
91	740	64
92	748	56
93	755	48
94	762	40
95	769	32
96	777	24
97	785	16
98	793	8
99	800	0
